# The license in the LICENSE file does not apply to this file. The data in this file is from SIMBAD (http://simbad.cds.unistra.fr/simbad/). This file is made available under the Open Database License: http://opendatacommons.org/licenses/odbl/1.0/. Any rights in individual contents of the database are licensed under the Database Contents License: http://opendatacommons.org/licenses/dbcl/1.0/.
id,otype,ra,dec,pmra,pmdec,rvz,plx,type,mag,extra

θ Ara,s*b,271.65778414428,-50.09147988308306,-8.709,-9.672,3.4,2.947,B0.5Iab,3.66
κ Ara,*,261.50017970203,-50.63350661627,13.004,7.554,18.11,7.5862,G8III,5.193
λ Ara,PM*,265.09927324399,-49.41558312680999,103.685,-175.956,4.54,47.7045,F4V,4.77
µ Ara,PM*,266.03626308953,-51.8340532231,-15.034,-190.901,-9.416,64.0853,G3IV-V,5.15,name=Cervantes
σ Ara,*,263.9149639867754,-46.50568440305083,-25.046,-39.43,4.3,8.5285,A0V,4.59
π Ara,PM*,264.52298079539,-54.50043389668001,-50.775,-149.745,-2.11,24.3817,A5IV/V,5.242

α Ari,PM*,31.79335709957655,23.46241755020095,188.55,-148.08,-14.412,49.56,K2-IIIbCa-1,2.01,name=Hamal,wellKnownName=true
β Ari,SB*,28.66004578884514,20.808031471916408,98.74,-110.41,-3.1,55.6,kA4hA5mA5Va,2.65,name=Sheratan
γ^1 Ari,PM*,28.3825800137264,19.2959529982388,77.845,-106.965,3.7,18.8809,A0Vnp_lB,4.589,name=Mesarthim
γ^2 Ari,PM*,28.382553868509998,19.293855549769997,77.138,-97.321,-0.6,19.6268,A2IVpSiSrCr,4.52
δ Ari,Botein,PM*,47.90736069940499,19.726673110293053,153.871,-5.586,23.0056,19.7731,G9.5IIIb,4.37
ε Ari,**,44.80302231581191,21.34043263555175,-13.74,-5.12,0.9,9.81,A2IV+A3IVs,4.63
ζ Ari,PM*,48.72540966679999,21.044447008140004,-26.276,-73.782,7.3,11.8942,A1V,4.869
λ Ari,PM*,29.482153088393332,23.596062782928055,-92.295,-13.207,-3.11,24.7748,F0V,4.766
35 Ari,SB*,40.8629761644,27.707149409290004,8.502,-11.433,13,5.2876,B3V,4.67
39 Ari,PM*,41.9772586465075,29.247118272015555,150.336,-124.838,-15.2939,19.039,K0.5IIIb,4.51,name=Lilii Borea
41 Ari,**,42.49597183583333,27.26050722722222,66.81,-116.52,9.06,19.69,B8Vn,3.594,name=Bharani

α Aur,=,SB*,79.17232794433404,45.99799146983673,75.25,-426.89,29.19,76.2,G3III:,0.08,name=Capella,wellKnownName=true
β Aur,SB*,89.88217886833333,44.94743257194444,-56.44,-0.95,-15.75,40.21,A1IV-Vp,1.9
δ Aur,SB*,89.881743414146,54.2847379628627,85.814,-142.928,9.75,23.0557,K0IIIb,3.72
ε Aur,SB*,75.49222653615,43.82331030981,0.883,-3.065,-10.4,0.9879,A9Ia,2.99,name=Almaaz
η Aur,PM*,76.6287255888596,41.23447574166194,29.771,-68.325,7.3,14.0208,B3V,3.18
ζ Aur,SB*,75.61951434554709,41.07583198882223,12.093,-19.324,-3.4116,1.4244,K5II+B7V,3.75
θ Aur,a2*,89.93029217610834,37.21258462923103,43.63,-73.79,29.3,19.7,A0VpSi,2.62,name=Mahasim
ι Aur,V*,74.24841676022209,33.166093772077225,3.817,-17.786,17.78,7.2491,K3II-III,2.69
